                                         Large Stevenson           Small Stevenson
Stn name                        ID no.   Start        End          Start        End
Wyalong Post Office             073054   11/09/1950   13/04/1988   13/04/1988   Ongoing
Deniliquin Airport AWS          074258   X            X            03/06/1997   Ongoing
Mildura Airport                 076031   02/01/1946   03/05/2000   03/05/2000   Ongoing
Nhill Aerodrome                 078015   X            X            11/06/2003   Ongoing
Kerang                          080023   X            X            01/01/1903   Ongoing
Rutherglen Research             082039   X            X            01/01/1913   Ongoing
Gabo Island Lighthouse          084016   X            X            01/01/1900   Ongoing
Orbost (Comparison)             084030   01/01/1938   13/04/1972   13/04/1972   Ongoing
East Sale Airport               085072   01/05/1943   08/04/2003   08/04/2003   Ongoing
Wilsons Promontory Lighthouse   085096   01/01/1900   18/09/2000   18/09/2000   Ongoing
Melbourne Regional Office       086071   31/10/1967   30/01/2001   29/01/2001   Ongoing
Laverton RAAF                   087031   01/06/1941   15/08/1999   22/02/1997   Ongoing
Cape Otway Lighthouse           090015   X            X            01/01/1900   Ongoing
Low Head                        091293   X            X            05/11/1997   Ongoing
Launceston Airport              091311   X            X            14/06/2004   Ongoing
Eddystone Point                 092045   01/08/1908   24/07/1997   24/07/1997   Ongoing
Cape Bruny Lighthouse           094010   01/01/1900   26/03/1991   26/03/1991   Ongoing
Hobart (Ellerslie Road)         094029   01/01/1900   08/11/2007   08/11/2007   Ongoing
Butlers Gorge                   096003   X            X            25/10/1989   Ongoing
